Make,Model,AverageCityMPG,AverageHighwayMPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA,Integra,30,37,33,6,No,269
ACURA,Integra,30,37,33,6,No,269
ACURA,Integra,26,36,30,6,No,293
ACURA,Integra,26,36,30,6,No,293
ACURA,Integra,29,36,32,6,No,277
ACURA,Integra,29,36,32,6,No,277
ACURA,MDX,19,26,22,5,No,411
ACURA,MDX,19,26,22,5,No,411
ACURA,MDX,19,25,21,4,No,423
ACURA,MDX,19,25,21,4,No,423
ACURA,MDX,17,21,19,4,No,474
ACURA,MDX,17,21,19,4,No,474
ACURA,RDX,22,28,24,5,No,370
ACURA,RDX,22,28,24,5,No,370
ACURA,RDX,21,27,23,5,No,385
ACURA,RDX,21,27,23,5,No,385
ACURA,RDX,22,27,24,5,No,375
ACURA,RDX,22,27,24,5,No,375
ACURA,RDX,21,26,23,5,No,388
ACURA,RDX,21,26,23,5,No,388
ACURA,TLX,22,31,25,5,No,352
ACURA,TLX,22,31,25,5,No,352
ACURA,TLX,21,29,24,5,No,369
ACURA,TLX,21,29,24,5,No,369
ACURA,TLX,21,29,24,5,No,371
ACURA,TLX,21,29,24,5,No,371
ACURA,TLX,22,30,25,5,No,357
ACURA,TLX,22,30,25,5,No,357
ACURA,TLX,19,25,21,4,No,420
ACURA,TLX,19,25,21,4,No,420
ACURA,TLX,19,24,21,4,No,421
ACURA,TLX,19,24,21,4,No,421
ALFA,ROMEO,24,33,27,5,No,330
ALFA,ROMEO,24,33,27,5,No,330
ALFA,ROMEO,17,25,20,4,No,436
ALFA,ROMEO,17,25,20,4,No,436
ALFA,ROMEO,23,31,26,5,No,348
ALFA,ROMEO,23,31,26,5,No,348
ALFA,ROMEO,22,29,25,5,No,359
ALFA,ROMEO,22,29,25,5,No,359
ALFA,ROMEO,22,28,24,5,No,364
ALFA,ROMEO,22,28,24,5,No,364
ALFA,ROMEO,17,23,19,4,No,463
ALFA,ROMEO,17,23,19,4,No,463
ASTON,MARTIN,14,22,17,3,No,522
ASTON,MARTIN,14,22,17,3,No,522
ASTON,MARTIN,18,24,20,4,No,431
ASTON,MARTIN,18,24,20,4,No,431
ASTON,MARTIN,14,22,17,3,No,522
ASTON,MARTIN,14,22,17,3,No,522
ASTON,MARTIN,15,20,17,3,No,536
ASTON,MARTIN,15,20,17,3,No,536
ASTON,MARTIN,14,20,16,3,No,556
ASTON,MARTIN,14,20,16,3,No,556
ASTON,MARTIN,14,22,16,3,No,548
ASTON,MARTIN,14,22,16,3,No,548
