Make,Fuel,Veh Class,Air Pollution Score,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA,Gasoline,Large Car,7,30,37,33,6,No,269
ACURA,Gasoline,Large Car,7,30,37,33,6,No,269
ACURA,Gasoline,Large Car,6,26,36,30,6,No,293
ACURA,Gasoline,Large Car,6,26,36,30,6,No,293
ACURA,Gasoline,Large Car,7,29,36,32,6,No,277
ACURA,Gasoline,Large Car,7,29,36,32,6,No,277
ACURA,Gasoline,Small SUV,5,19,26,22,5,No,411
ACURA,Gasoline,Small SUV,5,19,26,22,5,No,411
ACURA,Gasoline,Small SUV,5,19,25,21,4,No,423
ACURA,Gasoline,Small SUV,5,19,25,21,4,No,423
ACURA,Gasoline,Standard SUV,5,17,21,19,4,No,474
ACURA,Gasoline,Standard SUV,5,17,21,19,4,No,474
ACURA,Gasoline,Small SUV,6,22,28,24,5,No,370
ACURA,Gasoline,Small SUV,6,22,28,24,5,No,370
ACURA,Gasoline,Small SUV,6,21,27,23,5,No,385
ACURA,Gasoline,Small SUV,6,21,27,23,5,No,385
ACURA,Gasoline,Small SUV,6,22,27,24,5,No,375
ACURA,Gasoline,Small SUV,6,22,27,24,5,No,375
ACURA,Gasoline,Small SUV,6,21,26,23,5,No,388
ACURA,Gasoline,Small SUV,6,21,26,23,5,No,388
ACURA,Gasoline,Small Car,7,22,31,25,5,No,352
ACURA,Gasoline,Small Car,7,22,31,25,5,No,352
ACURA,Gasoline,Small Car,7,21,29,24,5,No,369
ACURA,Gasoline,Small Car,7,21,29,24,5,No,369
ACURA,Gasoline,Small Car,7,21,29,24,5,No,371
ACURA,Gasoline,Small Car,7,21,29,24,5,No,371
ACURA,Gasoline,Small Car,7,22,30,25,5,No,357
ACURA,Gasoline,Small Car,7,22,30,25,5,No,357
ACURA,Gasoline,Small Car,5,19,25,21,4,No,420
ACURA,Gasoline,Small Car,5,19,25,21,4,No,420
ACURA,Gasoline,Small Car,5,19,24,21,4,No,421
ACURA,Gasoline,Small Car,5,19,24,21,4,No,421
ALFA,Gasoline,Midsize Car,5,24,33,27,5,No,330
ALFA,Gasoline,Midsize Car,5,24,33,27,5,No,330
ALFA,Gasoline,Midsize Car,3,17,25,20,4,No,436
ALFA,Gasoline,Midsize Car,3,17,25,20,4,No,436
ALFA,Gasoline,Midsize Car,5,23,31,26,5,No,348
ALFA,Gasoline,Midsize Car,5,23,31,26,5,No,348
ALFA,Gasoline,Small SUV,5,22,29,25,5,No,359
ALFA,Gasoline,Small SUV,5,22,29,25,5,No,359
ALFA,Gasoline,Small SUV,5,22,28,24,5,No,364
ALFA,Gasoline,Small SUV,5,22,28,24,5,No,364
ALFA,Gasoline,Small SUV,3,17,23,19,4,No,463
ALFA,Gasoline,Small SUV,3,17,23,19,4,No,463
ASTON,Gasoline,Small Car,3,14,22,17,3,No,522
ASTON,Gasoline,Small Car,3,14,22,17,3,No,522
ASTON,Gasoline,Small Car,5,18,24,20,4,No,431
ASTON,Gasoline,Small Car,5,18,24,20,4,No,431
ASTON,Gasoline,Small Car,3,14,22,17,3,No,522
ASTON,Gasoline,Small Car,3,14,22,17,3,No,522
ASTON,Gasoline,Standard SUV,5,15,20,17,3,No,536
ASTON,Gasoline,Standard SUV,5,15,20,17,3,No,536
ASTON,Gasoline,Standard SUV,5,14,20,16,3,No,556
ASTON,Gasoline,Standard SUV,5,14,20,16,3,No,556
ASTON,Gasoline,Small Car,3,14,22,16,3,No,548
ASTON,Gasoline,Small Car,3,14,22,16,3,No,548
ASTON,Gasoline,Small Car,5,18,24,20,4,No,435
ASTON,Gasoline,Small Car,5,18,24,20,4,No,435
AUDI,Gasoline,Small Car,7,28,38,32,6,No,276
AUDI,Gasoline,Small Car,7,28,38,32,6,No,276
AUDI,Gasoline,Small Car,7,27,35,30,6,No,294
AUDI,Gasoline,Small Car,7,27,35,30,6,No,294
AUDI,Gasoline,Small Car,5,24,33,28,6,No,322
AUDI,Gasoline,Small Car,5,24,33,28,6,No,322
AUDI,Gasoline,station wagon,5,23,30,26,5,No,344
AUDI,Gasoline,station wagon,5,23,30,26,5,No,344
AUDI,Gasoline,Small Car,5,24,32,27,5,No,326
AUDI,Gasoline,Small Car,5,24,32,27,5,No,326
AUDI,Gasoline,Small Car,5,24,32,27,5,No,326
AUDI,Gasoline,Small Car,5,24,32,27,5,No,326
AUDI,Gasoline,Small Car,5,24,31,26,5,No,334
AUDI,Gasoline,Small Car,5,24,31,26,5,No,334
AUDI,Gasoline,Midsize Car,5,24,32,27,5,No,326
AUDI,Gasoline,Midsize Car,5,24,32,27,5,No,326
AUDI,Gasoline,Midsize Car,5,24,33,28,6,No,322
AUDI,Gasoline,Midsize Car,5,24,33,28,6,No,322
AUDI,Gasoline,Midsize Car,5,24,31,27,5,No,334
